,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Randal Kolo Muani,5.8,8.26,6.52,7.3,7.53,,4.97,,,
Paxten Aaronson,,7.2,6.0,,,,,,,
Marcel Schuhen,,5.97,,,,,,,,
Marvin Mehlem,,7.39,,,,,,,,
Fabian Nürnberger,,7.21,,,,,,,,
Luca Pfeiffer,,8.12,7.71,,,,,,,
Tobias Kempe,,8.06,,,,,,,,5.47
Julian Justvan,,6.92,,,,,,,,
Emir Karic,,7.34,,,,,,,,
Fabian Holland,,7.47,,,,,,,6.97,6.89
Oscar Vilhelmsson,,6.23,,,,,,,,
Clemens Riedel,,6.13,,,,,,,,
Matthias Bader,,5.54,,,,6.07,,,,
Sebastian Polter,,6.51,7.09,8.12,,5.67,,,,
Aaron Seydel,,7.13,,,,,,,6.56,
Christoph Klarer,,7.98,,,,,,,,
Andreas Müller,,6.55,,,,,,,,
Fraser Hornby,,6.88,,7.17,5.29,,,,,
Fabian Schnellhardt,,7.92,,,,,,,,
Frank Ronstadt,,5.48,,,,,,,,
Klaus Gjasula,,6.6,,,,8.03,,,,
Filip Stojilković,,7.02,,,,,,,,
Jannik Müller,,5.28,,,,,,,,
Matej Maglica,,6.59,,5.67,,,,,,
Braydon Manu,,6.51,,,,,,,,
Bartol Franjić,,5.58,7.33,,,,,,,
Thomas Isherwood,,5.92,,,,,,,,
Asaf Arania,,6.11,,,,,,,,
Fabio Torsiello,,7.04,,,,,,,,
Alexander Brunst,,5.35,,,,,,,,
Timo Hübers,,8.35,7.5,6.9,,,,5.73,,
Florian Kainz,,8.21,6.38,6.03,7.42,5.95,6.95,6.7,6.83,
Eric Martel,,8.33,5.54,,,,,,,
Marvin Schwäbe,,7.83,7.08,7.77,,,,,,
Davie Selke,,7.45,7.77,6.85,7.56,5.34,7.63,8.12,6.21,
Luca Waldschmidt,,5.56,7.1,6.24,,7.37,7.39,6.18,7.47,7.84
Dejan Ljubicic,,5.82,5.54,5.84,,,,,,
Max Finkgräfe,,5.75,,,,,,,,
Steffen Tigges,,5.69,8.03,7.58,7.8,,,,,
Jan Thielmann,,5.57,5.7,7.49,7.63,7.28,,,,
Sargis Adamyan,,6.66,5.84,6.3,5.91,7.33,,,,
Benno Schmitz,,7.94,5.64,6.59,7.66,5.75,,6.86,6.09,
Jacob Christensen,,5.97,,,,,,,,
Linton Maina,,7.5,7.78,,,,5.99,7.4,,
Dominique Heintz,,5.65,6.1,5.68,7.17,6.82,7.15,6.04,6.55,6.05
Leart Paqarada,,5.42,,,,,,,,
Denis Huseinbasic,,6.97,7.54,,,,,,,
Mark Uth,,5.56,6.03,8.55,5.63,7.6,6.56,8.16,6.0,5.98
Rasmus Carstensen,,7.93,,,,,,,,
Damion Downs,,5.38,,,,,,,,
Faride Alidou,5.37,5.8,6.1,,,,,,,
Florian Dietz,,5.97,6.9,,,,,,,
Luca Kilian,,6.33,7.08,6.15,7.86,7.85,,,,
Mathias Olesen,,7.62,5.53,5.8,,,,,,
Noah Mbamba,,6.61,,,,,,,,
Josip Stanišić,,7.96,7.54,7.06,6.6,,,,,
Odilon Kossounou,7.92,6.86,6.19,6.92,,,,,,
Gustavo Puerta,,5.46,,,,,,,,
Rafał Gikiewicz,,,6.89,6.43,8.29,8.0,,7.36,,
André Hahn,,,6.25,5.41,5.58,6.25,7.51,7.96,6.04,8.15
Kelvin Yeboah,,7.21,6.59,5.73,6.01,,,,,
Daniel Caligiuri,,,7.96,6.92,6.43,8.13,8.18,6.28,6.32,7.79
Frederik Winther,,,6.12,6.46,,,,,,
Carlos Gruezo,,,7.29,7.28,6.8,7.9,,,,7.32
Ricardo Pepi,,,7.45,5.88,,,,,,
David Čolina,,,7.13,,,,,,,
Julian Baumgartlinger,,,7.24,5.78,7.16,6.42,6.98,7.7,6.97,5.69
Lukas Petkov,,,5.73,,,,,,,
Noah Joel Sarenren Bazee,,,5.19,7.06,5.43,5.85,7.29,7.33,,7.81
Raphael Framberger,,,7.54,7.97,6.58,5.71,5.88,5.79,7.05,
Anthony Modeste,,,7.46,7.48,5.91,6.68,,,7.97,6.41
Marco Pašalić,,,5.41,,,,,,,
Soumaïla Coulibaly,5.9,,5.99,,,,,,,
Marcus Ingvartsen,,,5.41,6.05,7.78,7.58,,,,
Alexander Hack,,,7.55,7.64,7.13,7.16,5.78,7.44,8.04,6.57
Marlon Mustapha,,,5.75,,,,,,,
Angelo Fulgini,6.51,6.35,6.26,6.73,5.8,7.08,6.81,7.52,,
Delano Burgzorg,,,5.85,5.72,,,,,,
Eniss Shabani,,,6.65,,,,,,,
Benjamin Pavard,6.18,6.31,6.71,5.83,6.91,8.4,7.25,7.01,,6.53
Yann Sommer,6.92,6.7,7.89,6.0,5.68,8.1,8.24,6.29,7.05,5.95
Arijon Ibrahimović,,8.01,6.96,,,,,,,
Sebastian Rudy,,,6.13,5.66,7.01,8.28,7.11,7.18,7.76,7.17
Eduardo Quaresma,,,5.76,,,,,,,
Ermin Bičakčić,,,5.47,,6.65,6.46,5.7,5.52,5.97,7.77
Muhammed Damar,,,7.05,,,,,,,
Fisnik Asllani,,,5.7,6.44,,,,,,
Stefan Posch,5.71,8.17,6.6,6.97,6.34,7.93,8.14,7.43,,
Marcus Thuram,6.18,6.36,8.18,8.09,6.56,6.63,5.56,6.65,,
Lars Stindl,,,6.22,5.95,5.95,5.88,6.68,8.33,6.79,6.79
Jan Olschowsky,,,6.98,,,,,,,
Tobias Sippel,,,6.78,5.31,5.95,,,5.7,,7.05
Semir Telalovic,,,5.38,,,,,,,
Oscar Fraulo,,,6.18,,,,,,,
Hannes Wolf,,,6.1,5.38,7.77,5.5,,,,
Marcin Kamiński,,,8.13,,7.87,,5.76,7.35,,
Tobias Mohr,,,6.85,,,,,,,
Rodrigo Zalazar,,,7.83,,,,,,,
Soichiro Kozuki,,,6.83,,,,,,,
Simon Terodde,,,5.61,,,7.43,,5.87,,
Malick Thiaw,6.15,7.45,8.24,,5.99,6.07,,,,
Michael Frey,,,6.31,,,,,,,
Dominick Drexler,,,6.57,,6.41,6.72,,,,
Cédric Brunner,,,6.71,5.82,8.15,,,,,
Thomas Ouwejan,,,5.89,,7.5,,,,,
Jere Uronen,,,7.12,7.41,,,,,,
Mehmet Aydin,,,7.37,,7.92,,,,,
Kerim Calhanoglu,,,5.51,,6.0,,,,,
Sidi Sané,,,7.67,,,,,,,
Florian Flick,,,6.58,,6.87,,,,,
Jordan Larsson,,,5.56,,,,,,,
Henning Matriciani,,,7.31,,7.6,,,,,
Danny Latza,,,7.75,,7.31,6.71,7.14,7.01,6.9,6.24
Kenan Karaman,,,5.96,,,6.84,7.25,7.04,,6.89
Florent Mollet,7.53,8.03,6.11,6.78,6.37,5.77,5.88,5.63,7.74,
Niklas Tauer,,,5.54,5.72,7.72,,,,,
Leo Greiml,,,5.89,,,,,,,
Andreas Ivan,,,7.14,,,,,,,
Pierre Kunde,7.3,,5.67,,7.86,5.71,7.82,,,
Jacek Góralski,,,7.35,,,,,,,
Jordi Osei-Tutu,,,5.26,,,,,,,
Vassilis Lambropoulos,,,6.04,6.19,,,,,,
Jannes Horn,,,5.94,7.47,5.78,,,5.99,6.8,
Clinton Mola,,,8.42,8.15,,,,,,
Tanguy Coulibaly,7.69,6.55,5.81,6.66,7.39,,,,,
Darko Churlinov,,,5.41,,6.12,5.34,,,,
Lauren Ulrich,,,5.84,,,,,,,
Nikolas Nartey,,,7.4,7.91,,,,6.89,,
Juan Perea,,,5.68,6.8,,,,,,
Thomas Kastanaras,,,5.86,,,,,,,
Alou Kuol,,,6.1,,,,,,,
Niklas Schmidt,7.13,8.04,8.21,,,,,,2.0,
Lee Buchanan,,,5.63,,,,,,,
Jean-Manuel Mbom,,,6.26,,6.1,,,,,
Levin Öztunalı,,,8.28,6.63,7.1,8.0,6.53,7.87,6.91,7.52
Niko Gießelmann,,,6.7,6.42,6.0,7.75,5.89,,,
Paul Seguin,,,7.47,6.53,,,,,7.78,6.89
Timo Baumgartl,,,6.3,5.78,,,6.81,7.31,,6.77
Lennart Grill,,,7.65,7.8,8.0,,,,,
Morten Thorsby,6.53,5.51,7.52,6.41,7.59,7.12,,,,
Abdou Diallo,,,8.25,6.55,7.8,5.95,7.96,5.75,6.77,
Marcel Halstenberg,,,7.85,6.41,5.97,7.97,7.75,7.51,8.11,
Jonathan Schmid,,,5.67,6.29,7.0,7.39,6.78,6.84,6.98,6.87
Hugo Siquet,,,7.18,5.52,,,,,,
Nils Petersen,,,7.79,7.28,5.86,6.95,7.38,6.91,6.19,
Daniel Kyereh,,,6.05,,,,,,,
Kimberly Ezekwem,,,6.92,,,,,,,
Paulo Otávio,,,8.27,6.8,7.51,7.79,,,,
Max Kruse,,,7.45,7.31,6.01,,8.53,7.7,8.49,6.49
Josip Brekalo,,6.74,5.86,7.64,6.8,6.04,6.44,6.08,7.33,
Lukáš Ambros,,,4.12,,,,,,,
Tjark Ernst,,,6.95,,,,,,,
Marc-Oliver Kempf,8.13,,7.52,6.19,7.35,,7.95,5.8,7.64,
Ibrahim Maza,,,6.41,,,,,,,
Veit Stange,,,7.47,,,,,,,
Florian Niederlechner,,,6.37,5.39,6.13,5.69,7.91,7.44,8.14,6.44
Suat Serdar,7.62,8.12,6.45,7.32,6.13,6.91,6.02,7.8,7.53,7.33
Marvin Plattenhardt,,,5.69,8.38,6.75,8.0,5.95,6.06,7.76,6.59
Wilfried Kanga,,,7.97,,5.18,6.25,7.91,7.46,,
Ivan Šunjić,,,7.1,,,,,,,
Tolga Ciğerci,,,7.52,,,,,,,6.96
Jean-Paul Boëtius,,,6.06,6.91,6.55,7.81,6.3,,,
Oliver Christensen,,5.73,6.0,,,,,,,
Pascal Klemens,,,5.63,,,,,,,
Tony Rölke,,,5.82,,,,,,,
Filip Uremović,,,6.37,,,,,,,
Márton Dárdai,,,5.93,7.59,7.87,,,,,
Vladimír Darida,,,6.67,7.52,6.1,5.91,5.83,7.74,6.97,6.27
Agustín Rogel,,,5.7,,,7.28,,,,
Peter Pekarík,,,5.91,7.16,7.23,8.08,6.72,8.0,6.37,6.39
Derry Scherhant,,,6.8,,,,,,,
Myziane Maolida,,,7.8,7.57,5.86,5.51,6.02,6.62,,
Diant Ramaj,,,7.92,0.0,,,,,,
Luca Pellegrini,5.47,6.12,5.4,7.88,6.69,6.64,7.39,,,
Dan Ndoye,6.52,8.07,6.1,5.55,7.09,6.69,6.45,,,
Almamy Touré,,,7.23,5.36,7.49,5.8,5.59,2.0,6.07,7.56
Lucas Alario,,,6.01,5.71,7.32,8.13,7.43,6.88,,
Filip Kostić,,7.8,2.0,8.49,8.43,6.76,7.41,5.52,7.23,6.13
Dario Gebuhr,,,6.11,,,,,,,
Jonas Hector,,,8.3,7.44,7.18,7.77,,7.39,6.2,5.96
Dimitris Limnios,,,6.25,,5.5,,,,,
Nikola Soldo,,,6.55,,,,,,,
Kingsley Schindler,,,5.94,7.06,,6.22,,,,
Tim Lemperle,,,6.26,6.01,,7.52,,,,
Kristian Pedersen,,,5.46,,,,,,,
Kingsley Ehizibue,7.13,7.64,7.23,6.98,6.15,6.8,,,,
Kerem Demirbay,,,6.59,8.0,6.76,8.43,6.41,7.53,8.31,
Charles Aránguiz,,,7.25,8.0,6.3,6.37,7.28,6.18,6.15,7.02
Sardar Azmoun,,6.13,7.51,6.33,,,,,,
Mitchel Bakker,6.96,7.38,5.5,7.91,7.07,7.3,,,,
Joel Pohjanpalo,7.33,,5.39,6.29,6.92,,,5.75,7.45,
Karim Bellarabi,,,6.2,5.49,7.64,6.36,6.0,6.78,7.53,7.19
Andrey Lunyov,,,6.34,5.65,,,,,,
Danny Blum,,,,8.07,,,6.57,6.87,7.02,
Michael Esser,,,,6.52,,,7.74,7.22,7.52,
Eduard Löwen,,,,6.0,7.54,5.85,7.19,,,
Soma Novothny,,,,6.42,,,,,,
Saulo Decarli,,,,7.98,,,,,,
Herbert Bockhorn,,,,7.88,,,,,,
Tarsis Bonga,,,,5.47,,,,,,
Robert Tesche,,,,6.2,,,,,,
Philipp Klement,,,,7.94,8.17,,,,,5.12
Wahid Faghir,,,,5.52,,,,,,
Hamadi Al Ghaddioui,,,,7.41,5.19,,,,,
Erik Thommy,,,,5.61,7.9,6.05,7.57,6.49,,
Daniel Didavi,,,,7.14,5.95,,6.0,7.49,5.52,8.38
Alexis Tibidi,,,7.34,8.0,,,,,,
Mateo Klimowicz,,,,6.95,7.34,,,,,
Ömer Faruk Beyaz,,,,5.23,,,,,,
Max Christiansen,,,,6.34,,,,,5.73,6.51
Branimir Hrgota,,,,5.55,,,,5.64,6.01,6.42
Andreas Linde,,,,5.56,,,,,,
Marco Meyerhöfer,,,,5.51,,,,,,
Timmy Tillman,,,,6.72,,,6.31,,,
Sascha Burchert,,,,6.43,,,,,,
Gian-Luca Itter,,,,6.49,,6.86,12.0,6.61,,
Sebastian Griesbeck,,,,5.83,7.64,,,,,
Cedric Itten,,,,7.6,,,,,,
Nick Viergever,,,,6.38,,,,,,
Julian Green,,,,7.25,,,,,,
Hans Nunoo Sarpei,,,,5.67,,,7.15,,,
Jeremy Dudziak,,,,7.68,,,,,,
Justin Hoogma,,,,6.86,,,5.91,,,
Dickson Abiama,,,,6.96,,,,,,
Håvard Nielsen,,,,7.56,,,,,5.8,
Tobias Raschl,,,,7.84,,7.37,,,,
Simon Asta,,,,5.37,,,5.93,7.34,,
Afimico Pululu,,,,5.34,,,,,,
Nils Seufert,,,,7.48,5.78,,,,,
Adrian Fein,,,,6.92,,,,,,
Abdourahmane Barry,,,,5.19,,,,,,
Marius Funk,,,,5.18,,,,,,
Bastian Oczipka,,,,8.01,7.28,5.92,6.58,6.5,7.69,7.67
Anthony Ujah,,,,7.6,,7.24,6.87,5.81,,5.73
Andreas Voglsammer,,,,7.32,6.56,,,,,
Keita Endo,,,,6.67,5.42,,,,,
Kevin Möhwald,,,,5.99,7.66,6.15,5.45,,,
Cedric Teuchert,,,,5.63,6.62,,6.14,7.9,,
Brian Brobbey,,,,7.34,,,,,,
Solomon Bonnah,,,,6.9,,,,,,
Joscha Wosz,,,,7.46,7.25,,,,,
Josef Martínez,,8.01,,5.17,6.78,,,,5.56,6.1
Renato Steffen,,,,6.34,6.39,6.81,6.18,5.48,,
Daniel Ginczek,,,,6.89,7.16,6.94,7.53,8.12,,7.22
Admir Mehmedi,,,,5.65,7.41,8.17,8.24,6.13,7.33,6.03
Bartosz Białek,,,,6.75,5.57,,,,,
Baptiste Santamaria,8.03,7.83,7.34,7.69,6.21,7.23,7.91,6.18,6.27,
Benjamin Uphoff,,,,5.42,,,,,,
Jordan Torunarigha,,,,5.68,5.74,8.36,6.33,7.56,6.22,
Santiago Ascacíbar,,,5.89,7.05,7.56,7.01,6.13,6.37,,
Ishak Belfodil,,,,7.58,6.18,6.96,6.55,5.57,,
Dedryck Boyata,,,,6.78,7.06,8.03,,,,
Luca Wollschläger,,,,8.01,,,,,,
Linus Gechter,,,,5.58,,,,,,
Jurgen Ekkelenkamp,6.89,,,6.1,,,,,,
Marten Winkler,,,,7.47,,,,,,
Dennis Jastrzembski,,,,6.64,,6.52,5.15,,,
Marcel Lotka,,,,7.7,,,,,,
Krzysztof Piątek,,,6.57,7.97,5.61,6.7,6.89,,,
Deyovaisio Zeefuik,,,6.12,7.24,7.48,,,,,
Lukas Klünter,,,,7.12,7.44,7.58,7.96,5.77,7.32,5.64
Julian Eitschberger,,,,7.4,,,,,,
Fredrik André Bjørkan,,,,5.6,,,,,,
Cimo Röcker,,,,6.05,,,,,,
Javairô Dilrosun,,,,7.58,5.33,7.71,8.05,,,
Anton Kade,,,,6.24,,,5.36,,,
Martin Hinteregger,,,,6.4,10.0,5.73,5.8,7.95,7.86,5.77
Stefan Ilsanker,,,,6.94,7.48,6.16,7.11,7.94,6.44,
Ajdin Hrustic,,,7.66,7.07,5.52,,,,,
Ragnar Ache,,,,7.95,7.9,,,,,
Sam Lammers,,,8.01,7.05,6.16,,,,,
Rafael Czichos,,,,7.59,6.86,6.37,,,,
Timo Horn,,,,5.63,7.94,7.06,,7.87,7.05,7.19
Sebastian Andersson,,,,7.98,6.72,6.51,,,,
Louis Schaub,,,,6.64,,6.5,,,,
Noah Katterbach,,,,5.28,6.14,5.3,,,,
Tomáš Ostrák,,,,5.64,,,,,,
Iker Bravo,7.87,,,6.49,,,,,,
Zidan Sertdemir,,,,7.7,,,,,,
Panagiotis Retsos,,,8.05,5.96,7.12,6.83,,7.75,,
Mickaël Cuisance,,,6.16,5.36,5.27,7.88,7.14,8.01,,
Corentin Tolisso,7.71,8.09,7.48,5.88,6.33,7.24,8.11,6.76,7.06,6.68
Lucas Copado,,,,7.65,,,,,,
Omar Richards,,,,6.46,,,,,,
Malik Tillman,,,,6.72,,,,,,
Christian Früchtl,,,,6.59,,,,,,
Jerry St. Juste,,,,8.5,6.27,6.14,,,,
Daniel Brosinski,,,,6.33,6.09,7.2,5.92,6.29,7.93,5.92
Anderson Lucoqui,,,,5.77,5.69,,,,,
Ádám Szalai,,,,6.73,6.74,6.97,5.78,6.52,6.75,7.81
Stephan Fürstner,,,,5.24,,,,,,
Nico Schulz,,,,6.77,5.64,5.68,6.71,8.13,6.32,6.31
Marin Pongračić,6.03,6.58,6.42,7.52,6.8,7.97,,,,
Marwin Hitz,,,,7.52,7.78,8.0,5.57,7.91,7.86,7.86
Roman Bürki,,,,7.52,6.07,5.52,6.55,7.04,6.18,5.75
Alfreð Finnbogason,,,,5.71,6.11,6.35,6.02,6.92,6.48,7.06
Lasse Günther,,,,7.03,,,,,,
Tobias Strobl,,,,7.01,7.72,7.03,7.68,0.0,5.77,7.63
Jan Morávek,,,,6.73,6.81,7.25,7.75,7.72,6.41,6.08
Sergio Córdova,,,,6.06,5.89,5.74,6.84,7.48,,
Benjamin Hübner,,,,8.0,,7.08,6.82,6.89,8.01,8.4
Mijat Gaćinović,,,,7.06,6.78,6.31,7.27,6.11,5.72,7.37
Justin Che,,,,6.54,,,,,,
Philipp Pentke,,,,5.54,7.82,8.78,,,,
Marco John,,,,7.29,6.43,,,,,
Nick Proschwitz,,,,7.13,,,,,,
Stefanos Kapino,,,,9.2,,4.0,7.8,,,
Guilherme Ramos,,,,7.73,,,,6.18,,
Joakim Nilsson,,,,6.16,6.95,,,,,
Alessandro Schöpf,,,,8.0,6.85,7.74,5.74,6.03,7.51,7.21
Fabian Klos,,,,5.44,7.54,,,,,
Jacob Barrett Laursen,,,,6.35,7.57,,,,,
Janni Serra,,,,7.19,,,,,,
Bryan Lasme,,,,7.24,,,,,,
Fabian Kunze,,,,7.55,7.47,,,,,
Florian Krüger,,,,5.95,,,,,,
Burak İnce,,,,6.93,,,,,,
Sebastian Vasiliadis,,,,6.62,,7.64,,,,
Nathan de Medina,,,,6.68,5.24,,,,,
George Bello,,,,6.59,,,,,,
Breel Embolo,6.97,6.27,5.92,7.23,5.45,8.01,5.86,5.63,7.3,
Connor Noß,,,,7.16,,,,,,
Keanan Bennetts,,,,6.33,,,,,,
Blendi Idrizi,,,,,6.28,,,,,
Amine Harit,7.81,6.27,6.9,5.82,5.63,7.69,7.9,5.82,6.04,
Salif Sané,,,,,7.57,6.14,7.56,7.81,,0.0
Benjamin Stambouli,,7.67,,,5.8,6.81,6.06,7.64,7.85,7.02
Klaas-Jan Huntelaar,,,,,6.81,,,,5.79,8.2
Benito Raman,,,,,7.2,5.4,7.62,,,
William,,,,,6.69,6.5,6.23,5.8,,
Ahmed Kutucu,,,,,7.3,5.54,5.63,,,
Nassim Boujellab,,,,,7.28,6.5,6.68,,,
Jan Luca Schuler,,,,,7.65,,,,,
Hamza Mendyl,,,,,5.56,6.73,6.5,6.79,7.81,
Can Bozdogan,,,,,5.65,5.37,,,,
Michael Langer,,,,,5.49,,,,,
Jimmy Kaparos,,,,,5.34,,,,,
Kilian Ludewig,,,,,6.19,,,,,
Vedad Ibišević,,,,,6.27,6.23,6.13,5.95,7.53,8.16
Rabbi Matondo,,,,,5.18,5.71,7.61,,,
Luca Mack,,,,,5.39,,,,,
Mohamed Cissé,,,,,6.7,,,,,
Mohamed Sankoh,,,,,6.79,,,,,
Florian Hübner,,,,,7.98,5.67,,7.52,,
Petar Musa,,,,,5.84,,,,,
Christian Gentner,,,,,6.47,6.31,7.36,7.56,,7.55
Akaki Gogia,,,,,7.71,7.26,,,,
Tim Maciejewski,,,,,7.24,,,,,
Leon Dajaku,,,,,7.34,5.72,7.02,,,
Theodor Gebre Selassie,,,,,6.26,7.48,5.65,7.14,7.27,5.92
Ömer Toprak,,,,,5.48,6.71,7.1,6.71,7.29,6.24
Niklas Moisander,,,,,6.33,5.54,6.18,5.7,6.45,6.09
Yuya Osako,,,,,6.4,7.3,5.84,6.53,7.55,5.9
Philipp Bargfrede,,,,,7.23,6.71,5.51,8.1,7.73,8.23
Lazar Samardzic,8.12,6.97,7.01,5.75,7.71,6.55,,,,
Dennis Borkowski,,,,,7.46,6.04,,,,
Nishan Burkart,,,,,7.0,,,,,
Lino Tempelmann,,,,,6.66,7.49,,,,
Amir Abrashi,,,,,7.76,7.89,7.42,5.83,7.48,
Guus Til,,,,,7.33,,,,,
Felix Klaus,,,,,7.43,6.39,6.84,6.19,,5.51
Victor Sá,,,,,6.12,7.73,,,,
Yunus Mallı,,,,,5.87,6.09,7.41,7.51,7.65,7.66
Jhon Córdoba,,,,,6.97,6.22,,7.9,6.38,7.04
Rune Jarstein,,,,,6.37,7.15,6.08,8.0,6.02,6.62
Jonas Michelbrink,,,,,6.95,,,,,
Mathew Leckie,,,,,5.37,5.72,7.4,5.69,6.36,7.96
Daishawn Redan,,,,,5.46,7.06,,,,
Jonas Dirkner,,,,,5.31,,,,,
Elias Bördner,,,,,7.15,,,,,
Bas Dost,,,,,6.4,6.27,,,7.46,8.2
Amin Younes,,,,,7.77,5.57,6.59,,,
David Abraham,,,,,8.14,8.0,7.11,6.03,6.57,5.74
Steven Zuber,,,,,6.13,7.29,5.91,6.08,7.67,7.69
Ismail Jakobs,6.87,7.21,5.48,6.61,5.77,7.22,,,,
Tolu Arokodare,,,,,6.98,,,,,
Marco Höger,,,,,5.44,6.24,,6.93,6.78,6.78
Sava Cestic,,,,,5.96,,,,,
Frederik Sørensen,,,,,6.14,,,5.76,6.01,7.54
Lars Bender,,,,,8.0,6.81,6.47,5.97,6.9,6.97
Tin Jedvaj,,,,,8.04,5.46,6.54,7.41,7.92,5.87
Wendell,,,,,5.61,6.13,6.14,6.84,7.36,6.14
Sven Bender,,,,,8.06,8.03,6.85,8.07,6.88,12.0
Emrehan Gedikli,,,,,7.34,,,,,
Niklas Lomb,,,,,5.8,,,,,
Joshua Mees,,,,,7.21,6.31,,,,
Marek Suchý,,,,,5.69,5.76,,,,
Tim Civeja,,,,,6.08,,,,,
Tiago Dantas,,,,,7.35,,,,,
Jérôme Boateng,,5.88,7.2,8.11,7.61,6.84,6.2,8.61,5.95,7.08
Douglas Costa,,,,,5.35,7.85,7.34,6.48,8.41,7.2
Christopher Scott,,,,,6.23,,,,,
Robin Quaison,,,,,6.97,7.97,7.18,7.38,7.95,5.32
Robert Glatzel,,,,,6.53,,,,,
Diego Bri,,,,,5.28,5.92,5.75,6.77,6.82,5.58
Issa Bah,,,,7.3,5.38,,7.9,,,
Łukasz Piszczek,,,,,6.03,5.71,6.44,8.14,5.79,7.97
Melayro Bogarde,,,,,7.35,5.42,,,,
Marcel Hartel,,,,,5.81,,,,7.66,7.59
Michel Vlap,,,,,5.85,,,,,
Sven Schipplock,,,,,5.74,,,7.57,6.14,6.58
Jóan Símun Edmundsson,,,,,7.23,,,,,
Christian Gebauer,,,,,7.25,,,,,
Cebio Soukou,,,,,5.19,,,,,
Brian Behrendt,,,,,7.15,,,,,
Reinhold Yabo,,,,,6.24,,,,,
Ibrahima Traoré,,,,,7.74,7.7,7.14,8.1,7.93,6.07
Oscar Wendt,,,,,7.37,6.85,5.66,6.75,6.63,7.49
Rouwen Hennings,,,,,,8.02,6.82,,,
Robin Bormuth,,,,,,6.45,6.42,,,
Kaan Ayhan,,,7.91,5.85,6.87,5.97,6.0,,,5.59
Lewis Baker,,,,,,7.44,,,,
André Hoffmann,,,,,,6.44,6.33,,,5.96
Oliver Fink,,,,,,7.76,5.32,,,
Florian Kastenmeier,,,,,,5.38,,,,
Valon Berisha,,,,7.54,7.06,6.72,5.93,,,
Matthias Zimmermann,,,,,,6.8,7.05,7.34,,5.63
Adam Bodzek,,,,,,7.34,6.55,,,
Alfredo Morales,,,,,,5.93,5.5,,5.7,7.58
Marcel Sobottka,,,,,,5.8,6.74,,,
Thomas Pledl,,,,,,7.7,,,,
Jean Zimmer,,,,,,6.4,6.32,,,
Opoku Ampomah,,,,,,6.84,,,,
Bernard Tekpetey,,,,,,7.26,,,7.36,
Kelvin Ofori,,,,,,6.23,,,,
Kwasi Okyere Wriedt,,,,,,6.69,,6.57,,
Sarpreet Singh,,,,,,6.53,,,,
Oliver Batista-Meier,,,,,,6.91,,,,
Daniel Baier,,,,,,6.1,5.39,7.79,7.75,7.92
Julian Schieber,,,,,,7.64,5.71,6.52,7.75,5.67
Georg Teigl,,,,,,6.24,7.72,,7.2,
Marcel Schmelzer,,,,,,6.08,7.78,7.38,5.96,6.24
Leonardo Balerdi,6.57,5.85,5.61,6.03,7.5,6.65,,,,
Jeffrey Bruma,,,,,,7.66,5.93,5.66,5.68,
Alexandru Maxim,,,,,,7.34,8.1,7.24,,6.43
Lucas Ribeiro,,,,,,5.39,,,,
Sebastian Schonlau,,,,,,6.57,,,,
Kai Pröger,,,,,,7.12,,,,
Leopold Zingerle,,,,,,5.85,,,,
Antony Evans,,,,,,8.01,,,,
Marlon Ritter,,,,,,6.64,,,,
Jamilu Collins,,,,,,6.87,,,,
Christian Strohdiek,,,,,,5.78,,,,
Streli Mamba,,,,,,6.15,,,,
Samúel Friðjónsson,,,,,,6.99,,,,
Caiuby,,,,,,5.68,7.34,5.97,6.72,7.05
Laurent Jans,,,,,,6.51,,,,
Ben Zolinski,,,,,,6.64,,,,
Khiry Shelton,,,,,,6.35,,,,
Mohamed Dräger,,,,,,7.0,,5.75,,
Babacar Guèye,,,,,,6.39,,,,7.56
Jannik Huth,,,,,,6.85,,,5.87,
Jan Luca Rumpf,,,,,,6.57,,,,
Raffael,,,,,,5.91,5.5,7.29,7.9,6.99
Fabian Johnson,,,,,,5.84,6.2,6.16,7.77,7.97
Markus Schubert,,,,,,6.32,,,,
Fabian Reese,,,,,,5.83,,6.79,5.69,
Guido Burgstaller,,,,,,6.08,6.52,7.33,6.75,
Levent Mercan,,,,,,6.54,,,,
Nuri Şahin,,,,,,8.06,7.47,7.1,7.01,7.74
Michael Lang,,,,,,5.44,5.9,,,
Claudio Pizarro,,,,,,5.76,5.53,6.58,6.15,6.59
Sebastian Langkamp,,,,,,5.27,7.36,5.89,5.8,6.8
Fin Bartels,,,,,,5.36,6.28,5.78,6.49,5.81
Luc Ihorst,,,,,,7.77,,,,
Benjamin Goller,,,,,,5.82,,,,
Martin Harnik,,,,,,5.74,7.49,6.04,,7.58
Michael Parensen,,,,,,7.14,,,,
Ken Reichel,,,,,,7.26,,,,
Neven Subotić,,,,,,7.25,7.24,7.5,7.57,7.59
Suleiman Abdullahi,,,,,,6.39,,,,
Felix Kroos,,,,,,6.89,,,,6.66
Manuel Schmiedebach,,,,,,7.0,,7.3,,7.08
Diego Demme,,6.85,6.82,6.82,7.46,7.85,6.34,8.24,8.4,
Yvon Mvogo,,7.29,7.11,,,6.56,6.2,5.4,,
Niclas Thiede,,,,,,5.79,,,,
Jérôme Gondorf,,,,,,6.56,5.5,5.77,7.04,7.01
Mike Frantz,,,,,,5.61,7.56,7.33,5.9,
Brandon Borrello,,,,,,6.57,,,,
