,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented
Ollie Watkins,7.08,16.4,8,8,2,18,4,0.1298847910887323,18,4,4,248,64.07932398931744,54,64,82,16,0,45.41902493620172,6,2,0,0,0,0,0,50,14,18,16,48.119590596992055,22,0.7924377865812602,84,11.775332587686044,1490,5.215645827961115,0,0,0,0,0,0,0,0,4,0,0,0,4,0,34,0,0,0,8,114,8,6,2,490,4,14,0,0,8,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,24,184,0,18,16,4,14,34,0,0,0,0,32,0,42,147.77887090995142,0,0,0,48,12,0,15.677349603801229,0,8,1511954,overall,2,
Jhon Durán,7.32,88.3,16,4,0,0,0,0.11511791695036602,6,44,18,58,70.0410410196847,20,4,40,4,2,12,2,0,2,0,0,0,0,24,10,10,34,75.00696720496609,0,77.66050067137559,66,57.28004448536215,238,28,0,0,0,0,0,0,0,0,8,4,0,4,0,0,106,16,0,0,20,24,0,0,0,46,6,2,0,0,2,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,6,16,2,4,20,0,0,0,2,8,0,16,18,0,0,0,22,136,0,5.469400857155289,0,2,1511950,overall,6,
Youri Tielemans,6.11,84.2,24,0,14,0,4,5.188835985304782,0,134,102,1608,167.1313235665385,200,152,148,26,4,33.44099309182506,42,14,0,0,0,2,21.68692869988676,16,4,0,78,8.666917450172221,4,83.5902966734051,134,80.73893103153961,560,0,0,0,0,0,0,0,0,0,6,0,0,0,0,48,75.28436151071767,8,0,0,4,12,6,62,44,328,44,10,0,0,16,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,64,14,38,110,14,0,0,0,20,4,2,84.31734257756548,0,0,0,0,402,364,2,0.10150274588788122,0,16,1511956,overall,26,
Amadou Onana,8.3,113.8,6,0,0,0,0,0.24491735320532945,0,376,30,12,48.68927653090108,116,92,104,4,6,146,20,2,0,0,0,0,166,6,0,4,70,22.65232206176782,0,44,48,35.32343062890563,600,32.573681062599135,0,0,0,0,0,0,0,0,0,0,0,0,0,4,86,18,0,0,2,16,0,12,0,442,18,22,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,18,0,0,2,4,0,82,4,0,0,0,8,16,8,110,391.56383537734996,0,0,0,298,296,0,0.5671674671451992,0,12,1511992,overall,12,
Leon Bailey,7.78,106,22,0,0,0,2,2.415875078623871,2,6,10,2,81.52490637819665,60,164,144,8,4,66.32625363134063,0,2,0,0,0,0,20,14,0,6,20,15.065416112697996,4,52.179136977801505,8,56.277071339348396,1180,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,94.20516993664842,10,0,0,34,106,0,8,16,6,14,14,2,0,0,2,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,12,0,0,16,22,8,6,0,0,0,0,8,8,0,30.10384378184378,0,0,0,0,40,272,0,0.8510516423545615,0,68,1511958,overall,16,
John McGinn,7.69,119.3,8,0,0,2,0,1.7382009542488845,0,126,22,4,37.26779295847487,68,126,42,14,0,100,14,0,2,0,0,2,20,18,0,14,10,15.814489026247628,0,101.16952207903825,62,77.3345450716514,704,0,0,0,0,0,0,0,0,0,8,6,0,0,0,24,19.412285570421773,0,0,0,14,110,4,24,28,630,26,20,0,0,0,0,8,0,0,0,0,0,0,0,4,2,0,0,0,0,0,14,0,0,16,2,30,4,0,0,0,0,2,8,4,92,0,0,0,0,34,60,0,1.74760632374484,0,46,1511940,overall,4,
Boubacar Kamara,7.41,22.7,4,0,0,0,0,0.015223747966314143,0,122,2,108,145.97546971533376,68,8,18,0,0,45.994767048110134,4,0,0,0,0,0,0,0,0,0,10,47.84550784307615,0,6,2,46.331501948668404,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100.6957152231403,6,0,0,0,0,0,4,4,166,0,2,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,28,2,0,0,0,2,0,2,16,0,0,0,0,74,60,0,,0,6,1642042,overall,6,
Jacob Ramsey,6.56,68.1,18,0,0,0,2,1.6112826355021361,2,390,26,208,64.30915541422388,8,166,132,12,12,51.47629616615518,4,0,0,0,0,0,0,2,2,4,28,52,0,24,24,50.836616566342045,778,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,2,0,0,0,54,2,0,6,210,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,18,2,32,2,0,0,0,4,20,2,28.24070506362979,0,0,0,0,108,238,0,0.2687170315786319,0,0,1511988,overall,2,
Lamare Bogarde,6.82,2.4,0,0,0,0,0,0.09787580524304594,0,114,18,16,108.2799069307886,14,16,28,0,2,108,2,0,0,0,0,0,0,0,0,0,20,28.197772583955036,0,64,0,33.55514931229427,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.55678365368504,0,0,0,10,46,0,4,0,158,6,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,6,2,50,0,0,0,0,32,132,0,,0,0,1541672,overall,0,
Pau Torres,7.25,45.4,16,0,0,0,0,0.056574391981795036,0,774,194,590,141.0646016358919,718,472,52,0,12,76.95993997855776,20,6,0,0,0,0,0,2,0,0,24,46,10,69.65785750844151,0,79.12041289476016,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.12010438550561,32,0,0,4,126,0,88,18,804,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,16,0,16,8,0,0,0,98,36,14,108.15563567244355,0,0,0,0,766,102,0,0.4278616282031148,8,44,1511966,overall,6,
Lucas Digne,6.35,190.5,16,0,10,0,0,0.1957203603242723,2,122,74,230,117.10634272555863,330,408,160,2,6,18,52,8,2,0,0,26,13.02064704898218,12,2,0,52,79.04006436100084,20,52,92,52,242,0,0,0,0,0,0,0,0,0,4,6,0,0,0,8,5.2493456616083805,52,0,0,6,182,0,24,18,852,2,2,0,0,16,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,14,0,0,36,12,8,64,22,0,0,0,18,10,12,72.47773318115517,0,0,0,0,52,260,0,0.6204736349081038,0,40,1511944,overall,4,
Ezri Konsa,7.45,44.6,18,0,0,0,0,0.39269292937698874,0,364,34,616,85.9181461185065,324,144,110,2,2,18.639000174623334,4,4,0,0,0,0,0,0,2,0,12,20.606183864747095,2,89.7907039315717,62,128.0845608433572,200,66.51374114284701,0,0,0,0,0,0,0,0,2,0,0,0,0,8,3.901472886205738,42,0,0,2,44,0,6,12,786,22,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,20,0,0,0,10,0,16,4,0,0,0,10,28,12,95.65233890230812,136,0,0,0,458,170,0,0.6538442898178343,2,24,1511970,overall,22,
Robin Olsen,7.5,4.3,0,0,0,0,0,0.0005281761379872054,0,26,2,36,38.85061661069983,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,162,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.921856544788625,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,4,0,,0,0,1681715,overall,0,0.20976997379571208
Emiliano Martínez,7.53,23.3,4,0,0,0,0,0.009903002570051004,0,458,86,608,84.93557633235821,186,24,0,0,0,106,0,0,0,0,0,0,0,0,0,0,6,102,0,118,0,4.983156241930885,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3.871452381048691,14,0,0,0,112,0,14,0,974,2,0,0,0,0,0,0,0,54,0,2,0,38,4,18,2,0,6,18,14,0,6,0,0,0,0,0,0,0,0,0,0,232,28,0,96,0,0,0,12,334,162,0,,28,152,1511964,overall,10,-0.2456109729173095
Ian Maatsen,6.38,122.6,10,0,0,0,0,1.2369431932740982,0,0,22,102,63.853280228292235,40,96,30,2,4,32.947633992099185,2,0,0,0,0,4,33.40968838598587,0,0,0,0,70.6700459251565,2,114,12,40.73574584962109,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,70,0,4,2,204,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,12,8,0,0,0,0,0,4,8,4,15.003460063012199,0,0,0,0,68,80,0,0.13048792289554545,0,18,1511990,overall,4,
Matty Cash,5.71,23.3,14,0,0,0,0,0.01267803460966882,0,114,56,46,98.54517669288681,208,94,34,2,4,1.4377528819642578,30,18,4,0,0,0,20.290657172749782,0,0,0,46,118.27117879169268,2,43.49707764215296,66,70.29030210880319,314,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,8,0,0,2,20,0,30,4,44,2,2,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,2,4,14,10,0,0,0,24,14,16,5.7939609692845195,598,0,0,0,118,84,0,0.07837959106605076,0,42,1511948,overall,10,
Kosta Nedeljković,6.19,9.4,2,0,0,0,0,0.019470890394384162,0,16,4,32,147.29850089434404,20,0,10,0,0,46,4,0,0,0,0,0,180,0,0,0,4,121.41019609779794,0,0,4,4,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,88.4677055427954,0,0,0,0,12,22,0,,0,2,1511968,overall,4,
Morgan Rogers,7.93,154.8,12,0,0,4,2,1.9586704192407096,8,206,142,184,14.828872730915535,12,56,114,24,8,69.28381865574357,10,4,2,0,0,0,0,18,10,14,54,19.432379741710264,0,12.182754259415578,44,43.40740139917446,356,22.770653885996836,0,0,0,0,0,0,0,2,6,4,0,0,6,26,17.82225661874989,2,0,0,10,140,12,28,14,908,16,14,0,0,8,0,10,0,0,0,0,0,0,0,20,4,0,0,0,0,0,10,0,0,38,16,10,12,0,0,0,0,8,28,8,30,321.983461357637,0,0,0,8,134,0,5.116048773811281,0,22,1511978,overall,12,
Chris Wood,6.49,75.6,24,16,0,12,0,0.04952566978667852,4,88,44,170,20.56096129177584,10,24,58,8,0,50.23986434982564,0,0,0,0,0,0,128,12,30,8,12,56.120295368202285,4,43.58699932456075,58,57.06456778929458,1594,26,2,0,0,0,0,0,6,0,0,0,2,0,10,6,70,0,0,0,0,74,2,10,2,472,12,2,0,0,6,12,6,0,0,0,0,0,0,0,16,2,0,0,0,0,0,22,82,0,8,0,0,104,64,0,0,0,10,16,0,26,75.10876568792347,0,0,0,48,146,0,3.9934148483360277,0,0,1510790,overall,0,
Jota Silva,8.1,115.2,18,0,2,0,0,0.8261348186255048,0,46,20,114,85.666509819777,4,6,40,10,0,49.966654942253506,4,4,0,0,0,2,19.605276804967776,4,2,6,12,79.97794293952646,18,75.97961554687271,38,55.93471332083238,816,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5.962740497307337,6,0,0,6,108,0,4,0,144,2,12,0,0,10,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,8,66,2,0,0,0,10,10,4,63.738123479229316,0,0,0,0,24,30,0,0.02018520932067913,0,4,1527053,overall,6,
Anthony Elanga,7.52,19.3,8,0,0,0,2,0.9646192220676695,0,128,26,146,97.23553789320442,60,46,78,4,10,25.966474171395152,8,4,0,0,0,4,26.565228664421593,14,0,6,28,36,14,36.38619938667298,70,78.50557746364137,830,0,0,0,0,0,0,0,0,0,4,2,0,0,0,10,119.40176592736668,8,0,0,8,212,4,0,2,160,8,4,0,0,0,10,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,18,26,34,82,18,0,0,0,0,20,4,28.064920664902473,0,0,0,0,26,60,0,1.4354019218155067,0,56,1510815,overall,8,
James Ward-Prowse,7.1,7.5,12,0,0,0,0,0.5020493877268687,0,110,10,294,86.1677483159657,140,90,6,0,0,0,2,6,0,0,0,8,3.3823554446399733,0,0,0,4,10,0,12.303076976290043,14,47.18574686509702,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,0,2,6,0,12,2,424,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,8,2,0,0,0,0,8,0,0,6,0,0,0,0,68,118,0,0.09918432343779957,0,16,1511974,overall,0,
Morgan Gibbs-White,6.98,68.4,10,0,2,0,0,1.5466706840228048,0,402,16,496,40.82793263573538,116,108,120,4,14,72,6,10,2,0,0,0,23.064633116101767,20,16,0,20,7.763833447671203,20,54.428187098929754,80,88.04777191716107,1226,0.6266020773699035,0,0,0,0,0,0,0,0,10,2,0,0,0,2,62.09645984639838,10,0,0,24,122,8,26,26,70,12,24,0,0,0,2,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,0,0,20,38,8,104,18,0,0,0,40,0,0,16.039871190838703,1156,0,0,0,104,508,0,1.730435959096913,0,50,1510793,overall,0,
Nicolás Domínguez,5.66,40,22,0,0,0,0,0.4144288040380304,0,382,70,706,157.84262306687737,14,132,168,4,0,36.26646975811224,14,12,4,0,0,0,126,10,4,0,16,88,8,11.050383725216463,24,72.66901393348039,574,0,0,0,0,0,0,0,0,0,8,2,0,0,0,14,28.891357437687788,16,0,0,0,86,0,18,24,322,8,18,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,64,2,0,0,0,4,16,20,87.86819134343105,0,0,0,0,66,414,0,0.7576721490494244,0,32,1510836,overall,12,
Ola Aina,6.7,186.9,10,0,2,0,0,2.050781250029938,0,374,164,456,150.0989549330156,290,110,72,4,16,42.13570426408473,52,16,0,0,0,4,28.966692641595163,0,0,0,22,0.5041354387961405,4,62.91769178717996,88,73.60253125677056,1368,28,0,0,0,0,0,0,0,0,0,4,0,0,0,6,35.44091700314466,46,0,0,8,64,0,6,22,288,20,2,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,22,0,0,8,30,52,60,12,0,0,0,16,18,14,64.00703998391123,2194,0,0,0,118,316,0,0.10322066421039741,0,134,1510797,overall,22,
Neco Williams,6.78,51.4,2,0,0,2,0,0.5861950902900834,0,226,58,190,154.14762876645568,74,122,40,8,2,86,16,0,4,0,0,4,57.73465620002063,14,4,2,34,54.36644983493189,8,112.06409439970143,70,42.84808023800377,6,0,0,0,0,0,0,0,0,0,6,2,0,0,0,10,37.92808889469909,0,0,0,10,58,0,2,0,80,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,32,0,0,0,0,18,0,8,65.60196401265259,0,0,0,0,0,54,0,1.177670265465991,0,22,1510849,overall,6,
Morato,6.36,25.6,0,0,0,0,0,0.019227909369502135,0,28,8,20,102.49621310791971,0,12,16,0,0,168,2,4,0,0,0,0,0,0,0,0,0,29.652931083991533,0,17.15565574978363,6,51.24686619330695,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.425230012570914,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,30.050993344342103,0,0,0,0,8,22,0,,0,4,1585602,overall,2,
Harry Toffolo,7.35,6.6,0,0,0,0,0,0.020234781687073444,0,0,2,10,145.63811679155822,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,0,0,0,30,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.027490791545681167,0,0,1510827,overall,0,
Matz Sels,5.85,57.1,26,0,0,0,0,0.08177430803730142,0,232,296,324,5.749932745591828,48,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,88,18,70,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20.156248546617825,0,0,0,0,22,0,32,18,480,4,0,0,0,0,0,0,0,38,8,0,0,14,6,8,2,10,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,322,4,0,78,0,0,0,2,22,86,0,,40,56,1510811,overall,20,-1.019047667213576
Danilo,6.48,9.5,0,0,0,0,0,0.00011778707544781854,0,2,0,0,80,2,0,0,0,0,15.754980438855021,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,1510791,overall,0,
Murillo,8.16,101.3,6,0,2,0,0,0.8934227753855772,0,426,226,1126,115.90356542004687,330,32,52,14,20,155.6854444395151,16,2,0,0,0,0,0,16,0,8,58,13.133096179184662,12,111.97121259355768,26,55.17881974153583,1642,14.277279203809233,0,0,0,0,0,0,0,0,2,12,0,0,0,0,49.953312487367036,140,0,0,2,168,2,124,58,1096,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,16,0,0,4,12,0,50,14,0,0,0,180,28,14,80,918,0,0,0,70,322,0,0.12671692488987651,62,38,1510839,overall,10,
Eric da Silva Moreira,5.88,0.5,0,0,0,0,0,0.0007280950930199301,0,0,0,8,60.414391190136485,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,27.779595816554373,0,0,2,6.690259538643577,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,156,0,0,0,0,0,0,0,,0,2,1650564,overall,0,
Álex Moreno,7.99,136.7,16,0,0,0,0,0.7788841823965061,0,62,80,364,106.86894881992986,118,224,134,2,12,101.44998683763663,16,14,2,0,0,0,9.189526270365999,6,0,0,54,14.841962060350603,0,11.63832948070823,62,59.13839250146251,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,45.65763086490682,18,0,0,4,232,0,16,2,136,0,8,0,0,36,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,6,0,6,34,10,0,0,0,32,18,6,92,0,0,0,0,144,248,0,0.01731423080540287,0,0,1585594,overall,16,
Nikola Milenković,0,22,12,0,0,6,0,0.476935124424184,0,322,58,740,12.77108080610249,268,138,24,6,0,60,6,12,0,0,0,0,0,20,0,14,16,60.014748630517786,6,4.436094919219215,84,125.3842028186331,340,0,0,0,0,0,0,0,0,0,2,2,0,0,0,16,26.0760076824655,52,0,0,0,98,0,0,10,456,0,10,0,0,0,0,2,0,0,2,0,0,0,0,16,0,0,0,0,0,0,24,0,0,6,0,0,42,20,0,0,0,110,24,4,44,0,0,0,0,28,196,0,0.46196094264660625,0,60,1527025,overall,4,
Willy Boly,6.17,3.8,0,0,0,0,0,0.0036439332329287768,0,14,16,32,75.79431174018661,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,146,0,70,2,167.96176920768667,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.915073656163614,10,0,0,0,18,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,32,0,0.07053925073285272,0,0,1510829,overall,2,
Taiwo Awoniyi,6.12,121.9,18,0,0,0,0,0.10707297809426088,0,28,12,6,18,8,8,16,0,0,14.982680729973922,2,0,0,0,0,0,0,0,0,0,16,12.577471194498258,2,15.688658813596543,14,15.813265883052118,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,2,2,132,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,22,0,0,0,0,2,0,74,0,0,0,0,8,26,0,0.7721879875996595,0,0,1510819,overall,18,
Ibrahim Sangaré,6.24,36.3,0,0,0,0,0,0.033125977832895614,0,48,48,58,96.13395113467942,36,54,22,0,0,0,16,2,2,0,0,0,0,0,0,0,0,28.143068980323818,8,68.66319605120935,32,47.38903628442567,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.09071318548672,0,0,0,0,52,0,6,6,184,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,6,2,8,70,0,0,0,0,84,14,0,0.03726633836189253,0,16,1510833,overall,0,
Ramón Sosa,6.2,88.2,2,0,0,0,0,0.4924975943498813,0,28,6,0,0,14,36,34,8,4,20.07779756793414,4,0,0,0,0,0,2.175824464653413,6,2,0,14,40,0,20,0,68,194,1.0975532008824693,0,0,0,0,0,0,0,0,0,2,0,0,0,0,93.21339324643415,2,0,0,0,2,0,2,0,116,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16,0,0,0,0,4,0,0,88.78745168323618,150,0,0,0,0,0,0,1.0206520462906596,0,10,1541733,overall,10,
Hee-Chan Hwang,7.58,83.4,4,0,0,0,0,0.21568650589183375,0,116,14,56,70.68013567151499,24,72,34,0,0,7.231231276151867,0,0,0,0,0,2,72,0,0,0,12,16.645665817135665,0,36.530857804510774,6,35.901919155241686,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,10,2,20,4,0,0,0,0,16,0,92.43856658847835,0,0,0,0,24,74,0,,0,22,1509877,overall,6,
Jørgen Strand Larsen,7.58,135.2,22,4,4,6,2,0.6314607775512868,6,66,104,98,106.21052620116043,20,60,16,4,2,34.85067946124232,6,4,0,0,0,0,5.333801974026137,36,20,4,16,8.281242481485908,28,2.1046674187263577,52,5.760721861930477,516,13.623333994967208,0,0,0,0,0,0,4,0,14,0,0,0,6,0,56,6,0,0,10,246,0,2,4,192,16,14,0,0,26,8,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,12,0,0,2,8,4,158,82,0,0,0,0,22,6,128,52.01068145025616,0,0,0,92,60,0,2.727439571091437,0,28,1509873,overall,20,
Carlos Borges,6.98,16.3,4,0,0,0,0,0.1346883829922243,0,72,16,52,131.53601491145093,12,24,0,2,4,107.24871904277958,0,0,2,0,0,0,3.4078364571734365,0,0,0,0,49.28202285181369,0,18.80588619991694,22,26,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,62,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,8,8.692544915767016,0,0,0,0,18,30,0,0.002808203760576708,0,8,1588392,overall,2,
Rayan Aït Nouri,5.58,108.8,20,4,0,0,2,1.0935368445236993,8,686,72,214,35.664815212982504,222,304,136,18,30,68.14699600493607,40,0,4,0,0,0,16.73703451126405,16,0,6,128,62.7536763395325,4,83.48903466656449,52,34.503943923008414,78,25.652370466950547,0,0,0,0,0,0,4,0,12,4,0,0,0,16,11.58530946933648,6,0,0,24,34,2,26,10,216,24,12,0,0,14,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,26,0,0,18,72,36,108,4,0,0,0,18,18,0,117.19171075938787,102,0,0,0,348,182,0,1.6478226548761605,0,80,1509875,overall,24,
Nélson Semedo,7.01,64.9,14,0,0,0,0,0.9215860478197153,0,176,86,302,39.19134205074835,296,280,82,8,24,93.42244299499265,4,8,0,0,0,2,16.309404900877695,0,2,0,42,84.78474844148134,14,52.153542272983294,122,23.268532016425702,362,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,48.69494518052886,20,0,0,4,12,0,20,8,1096,2,4,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,10,20,12,48,4,0,0,0,48,2,2,5.078998502904909,0,0,0,0,24,312,0,0.4117776307632257,0,42,1541741,overall,18,
Rodrigo Gomes,5.47,59.7,2,0,0,0,0,0.1393855944256693,0,24,42,80,135.39295978858274,6,78,22,0,2,72,6,0,0,0,0,0,0,0,0,0,6,22,2,86,8,88,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3201296902580033,0,0,0,6,44,0,2,0,248,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,8,12,4,0,0,0,0,0,4,0,30.51824757909256,0,0,0,0,0,118,0,0.011073461432812445,0,0,1509879,overall,0,
Yerson Mosquera,8.33,1.2,4,0,0,0,0,0.026695287756983807,0,284,42,326,155.64023758671664,146,46,4,2,0,0,2,2,2,0,0,0,2,2,0,0,12,82,6,31.287273224843304,40,86.2287439117345,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2.8980901738430305,26,0,0,0,22,0,14,8,136,4,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,2,0,2,14,0,0,0,0,6,6,10,27.55672167380836,0,0,0,0,246,138,0,0.05335463578762695,6,8,1509894,overall,8,
Santiago Bueno,6.01,77.9,0,0,0,0,0,0.024524561551068018,0,352,40,412,160.02298758999368,34,76,12,0,0,0,10,4,0,0,0,0,0,0,0,0,22,38.82304584356043,20,10,18,88,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,92,12,0,0,0,56,0,6,8,216,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,2,0,0,0,2,0,32,0,0,0,0,60,14,6,90,0,0,0,0,126,78,0,0.19199400816450693,2,18,1597555,overall,10,
